,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
78,frozenset({'The Blacklist'}),"frozenset({'Mr. Robot', 'Ozark'})",0.6428571428571429,0.42857142857142855,0.2857142857142857,0.44444444444444436,1.037037037037037,0.010204081632653017,1.0285714285714285,0.09999999999999959
77,frozenset({'Mr. Robot'}),"frozenset({'The Blacklist', 'Ozark'})",0.5,0.5,0.2857142857142857,0.5714285714285714,1.1428571428571428,0.0357142857142857,1.1666666666666665,0.2499999999999999
83,frozenset({'Berlin Station'}),frozenset({'The Blacklist'}),0.4523809523809524,0.6428571428571429,0.2857142857142857,0.631578947368421,0.982456140350877,-0.005102040816326592,0.9693877551020406,-0.03157894736842142
82,frozenset({'The Blacklist'}),frozenset({'Berlin Station'}),0.6428571428571429,0.4523809523809524,0.2857142857142857,0.44444444444444436,0.982456140350877,-0.005102040816326592,0.9857142857142858,-0.04761904761904818
88,frozenset({'Atypical'}),frozenset({'Berlin Station'}),0.5714285714285714,0.4523809523809524,0.2857142857142857,0.5,1.1052631578947367,0.02721088435374147,1.0952380952380953,0.22222222222222202
84,frozenset({'Atypical'}),frozenset({'12 Monkeys'}),0.5714285714285714,0.35714285714285715,0.2857142857142857,0.5,1.4,0.08163265306122447,1.2857142857142856,0.6666666666666665
85,frozenset({'12 Monkeys'}),frozenset({'Atypical'}),0.35714285714285715,0.5714285714285714,0.2857142857142857,0.7999999999999999,1.4,0.08163265306122447,2.1428571428571423,0.44444444444444436
86,frozenset({'Ozark'}),frozenset({'Cobra Kai'}),0.7380952380952381,0.3333333333333333,0.2857142857142857,0.3870967741935483,1.161290322580645,0.03968253968253965,1.0877192982456139,0.53030303030303
87,frozenset({'Cobra Kai'}),frozenset({'Ozark'}),0.3333333333333333,0.7380952380952381,0.2857142857142857,0.8571428571428571,1.161290322580645,0.03968253968253965,1.8333333333333324,0.20833333333333315
89,frozenset({'Berlin Station'}),frozenset({'Atypical'}),0.4523809523809524,0.5714285714285714,0.2857142857142857,0.631578947368421,1.105263157894737,0.02721088435374147,1.163265306122449,0.1739130434782607
90,frozenset({'The Wire'}),frozenset({'The Mentalist'}),0.35714285714285715,0.42857142857142855,0.2857142857142857,0.7999999999999999,1.8666666666666667,0.13265306122448978,2.857142857142856,0.7222222222222222
91,frozenset({'The Mentalist'}),frozenset({'The Wire'}),0.42857142857142855,0.35714285714285715,0.2857142857142857,0.6666666666666666,1.8666666666666665,0.13265306122448978,1.9285714285714282,0.8125
74,"frozenset({'Mr. Robot', 'The Blacklist'})",frozenset({'Ozark'}),0.3333333333333333,0.7380952380952381,0.2857142857142857,0.8571428571428571,1.161290322580645,0.03968253968253965,1.8333333333333324,0.20833333333333315
75,"frozenset({'Mr. Robot', 'Ozark'})",frozenset({'The Blacklist'}),0.42857142857142855,0.6428571428571429,0.2857142857142857,0.6666666666666666,1.037037037037037,0.010204081632653017,1.0714285714285712,0.062499999999999736
